iter	Logloss
189	0.2704178898
190	0.2704060921
191	0.2704004148
192	0.270362653
193	0.2703542267
194	0.2703433034
195	0.2703360736
196	0.2703298538
197	0.2703230867
198	0.270315605
199	0.2703065709
200	0.2703006781
201	0.2702939787
202	0.2702881029
203	0.2702680243
204	0.2702542962
205	0.2702356659
206	0.270215534
207	0.2702082655
208	0.2701994372
209	0.270188836
210	0.2701625182
211	0.2701513405
212	0.2701448495
213	0.2701341199
214	0.2701251463
215	0.2701157803
216	0.2701030695
217	0.2700681244
218	0.2700589304
219	0.2700530134
220	0.2700451902
221	0.2700387501
222	0.2700295463
223	0.270022256
224	0.2700169276
225	0.2700105915
226	0.2699890282
227	0.2699823555
228	0.2699731591
229	0.2699683174
230	0.2699627855
231	0.2699547541
232	0.2699477568
233	0.2699421135
234	0.2699245199
235	0.2699054948
236	0.2698814973
237	0.2697901917
238	0.2697755214
239	0.2697385782
240	0.269717165
241	0.2697110664
242	0.2696886456
243	0.2696818906
244	0.2696757701
245	0.2696453034
246	0.2696390885
247	0.2696295796
248	0.2696060011
249	0.2696005297
250	0.269590769
251	0.2695724051
252	0.2695647031
253	0.2695588393
254	0.2695529805
255	0.2695289612
256	0.2695239621
257	0.2695197163
258	0.2695136854
259	0.269508386
260	0.269503123
261	0.2694980076
262	0.2694934639
263	0.2694672115
264	0.2694425528
265	0.2694181606
266	0.2693989636
267	0.2693894934
268	0.2693539501
269	0.269337381
270	0.2693268573
271	0.2693224613
272	0.2693151565
273	0.2693109543
274	0.2693032135
275	0.2692508274
276	0.2692470272
277	0.2692376103
278	0.2692328462
279	0.2692241196
280	0.2692123147
281	0.2692085363
282	0.2692039369
283	0.2692006235
284	0.2691924782
285	0.269185154
286	0.2691799709
287	0.2691514491
288	0.2691309756
289	0.2691243901
290	0.2691206457
291	0.2691162763
292	0.2691082643
293	0.2691037399
294	0.269098346
295	0.2690839713
296	0.269071711
297	0.2690636844
298	0.2690427047
299	0.2690390426
300	0.2690253775
301	0.2690200006
302	0.2690073044
303	0.2689931258
304	0.2689896066
305	0.2689818125
306	0.2689749218
307	0.2689618913
308	0.2689552985
309	0.2689476619
310	0.2689429559
311	0.2689281815
312	0.2689222887
313	0.2689066036
314	0.2689032854
315	0.2688973176
316	0.2688361225
317	0.2688312712
318	0.2688266427
319	0.2688226633
320	0.2688159034
321	0.2688098508
322	0.2688049728
323	0.2688003104
324	0.2687887234
325	0.2687662155
326	0.2687496682
327	0.2687323434
328	0.2687060135
329	0.2687030005
330	0.2686942328
331	0.2686889188
332	0.268683416
333	0.2686746749
334	0.2686613198
335	0.2686582051
336	0.2686537195
337	0.2686482239
338	0.2686447168
339	0.2686404855
340	0.2686316184
341	0.2686263893
342	0.2686157856
343	0.2686092728
344	0.2685826474
345	0.2685702151
346	0.268566025
347	0.2685620311
348	0.268558398
349	0.268545336
350	0.2685370624
351	0.2685293628
352	0.2685200016
353	0.2685150582
354	0.2684957692
355	0.2684845673
356	0.2684779552
357	0.2684743899
358	0.2684703573
359	0.268465334
360	0.2684612359
361	0.2684581091
362	0.2684529332
363	0.2684410555
364	0.2684348697
365	0.2684311712
366	0.2684276423
367	0.2684208437
368	0.2684148734
369	0.2683965071
370	0.2683929201
371	0.2683873688
372	0.2683739629
373	0.2683705769
374	0.2683663311
375	0.268363553
376	0.2683579944
377	0.2683524795
378	0.2683408537
379	0.2683229138
380	0.2683178105
381	0.2683100043
382	0.2683047728
383	0.268301021
384	0.2682952687
385	0.2682915025
386	0.2682886299
387	0.2682840426
388	0.2682779706
389	0.2682719179
390	0.2682685053
391	0.268264785
392	0.2682511006
393	0.2682386126
394	0.2682277231
395	0.2682231285
396	0.2682201543
397	0.2682157898
398	0.2682120817
399	0.268205346
400	0.268201122
401	0.268192858
402	0.2681896222
403	0.2681834024
404	0.2681773086
405	0.2681739662
406	0.2681648036
407	0.2681524198
408	0.2681457205
409	0.2681371537
410	0.2681345937
411	0.2681327917
412	0.2681295752
413	0.2681234039
414	0.2681204708
415	0.2681179398
416	0.2681134614
417	0.2681071157
418	0.2680976044
419	0.2680932423
420	0.2680825103
421	0.2680751982
422	0.2680717638
423	0.26806823
424	0.2425	0.2689425	0.2426	0.2689426	0.2427	0.2689427	0.2428	0.2689428	0.2429	0.2689429	0.2430	0.2689430	0.2431	0.2689431	0.2432	0.2689432	0.433	0.2689138818
434	0.2689110117
435	0.2689033557
436	0.2688941423
437	0.2688901508
438	0.2688864136
439	0.2688787939
440	0.26887542
441	0.2688715278
442	0.2688631621
443	0.2688581558
444	0.2688487728
445	0.2688462176
446	0.2688404362
447	0.2688347953
448	0.2687950934
449	0.2687923976
450	0.2687892199
451	0.2687740629
452	0.2687665982
453	0.268761323
454	0.2687523639
455	0.2687488035
456	0.2687452213
457	0.2687191651
458	0.2687103029
459	0.2687056115
460	0.2687030756
461	0.2686994886
462	0.2686958676
463	0.2686931695
464	0.2686884272
465	0.2686844332
466	0.2686806331
467	0.2686768838
468	0.2686741154
469	0.2686699519
470	0.2686610316
471	0.2686557758
472	0.2686524939
473	0.2686473955
474	0.2686444697
475	0.2686402966
476	0.268630715
477	0.2686266436
478	0.2686207387
479	0.2686189052
480	0.2686161514
481	0.2686134435
482	0.2686058456
483	0.2686011275
484	0.2685967727
485	0.2685918899
486	0.2685885475
487	0.2685859365
488	0.2685835678
489	0.2685798669
490	0.2685762072
491	0.2685731724
492	0.2685706753
493	0.2685642715
494	0.2685582915
495	0.268550076
496	0.2685414196
497	0.2685338895
498	0.2685279071
499	0.2685244436
500	0.2685150631
501	0.2685100786
502	0.2685055978
503	0.2684919981
504	0.2684889342
505	0.2684859043
506	0.2684784541
507	0.2684732831
508	0.2684687539
509	0.268465489
510	0.2684622919
511	0.2684334988
512	0.268429316
513	0.2684271361
514	0.2684230962
515	0.2684196714
516	0.268406016
517	0.2684030757
518	0.26840038
519	0.2683965289
520	0.2683933052
521	0.2683861336
522	0.268375278
523	0.2683700126
524	0.2683678109
525	0.268362107
526	0.2683588664
527	0.2683569094
528	0.2683538867
529	0.2683489264
530	0.26834524
531	0.2683404686
532	0.2683385286
533	0.2683352177
534	0.2683313061
535	0.2683292328
536	0.2683262319
537	0.2683233425
538	0.2683012802
539	0.2682960559
540	0.2682934037
541	0.2682909091
542	0.2682662092
543	0.2682636443
544	0.2682532562
545	0.2682494439
546	0.2682471527
547	0.2682441663
548	0.2682406616
549	0.2682378327
550	0.2682353719
551	0.268231705
552	0.2682286653
553	0.268225507
554	0.2682214816
555	0.2682148888
556	0.2682091655
557	0.2682073442
558	0.2682040429
559	0.2681943112
560	0.2681912328
561	0.2681894405
562	0.2681826758
563	0.2681749689
564	0.2681717718
565	0.268167308
566	0.2681649635
567	0.2681619166
568	0.2681532942
569	0.2681467619
570	0.2681387886
571	0.2681351483
572	0.2681316
573	0.2681278749
574	0.268123835
575	0.2681211998
576	0.2681171454
577	0.2681133258
578	0.2680997503
579	0.2680966211
580	0.2680923195
581	0.2680888682
582	0.268086543
583	0.2680844722
584	0.2680813429
585	0.2680757795
586	0.2680735633
587	0.2680707804
588	0.2680669343
589	0.2680647302
590	0.2680457003
591	0.2680402072
592	0.2680344621
593	0.2680318124
594	0.2680283731
595	0.2680248321
596	0.2680147056
597	0.2680078658
598	0.2680031113
599	0.2680008153
600	0.267998277
601	0.2679890636
602	0.2679858059
603	0.2679829601
604	0.2679795353
605	0.2679760573
606	0.2679720827
607	0.2679619102
608	0.2679557219
609	0.2679510498
610	0.2679467483
611	0.2679406811
612	0.2679377407
613	0.2679348537
614	0.2679315404
615	0.2679306466
616	0.2679268634
617	0.2679249161
618	0.2679219515
619	0.267914482
620	0.2679095919
621	0.2679069374
622	0.2679017445
623	0.2678985232
624	0.2678962538
625	0.2678935532
626	0.2678908745
627	0.2678879632
628	0.2678836641
629	0.2678808836
630	0.2678777834
631	0.2678758191
632	0.2678667341
633	0.2678641861
634	0.2678558277
635	0.2678529503
636	0.2678484308
637	0.2678443715
638	0.2678407966
639	0.2678381348
640	0.2678354463
641	0.2678331115
642	0.2678304884
643	0.2678284079
644	0.2678253852
645	0.2678227815
646	0.267819444
647	0.2678136384
648	0.2678064982
649	0.2678035894
650	0.2678003584
651	0.2677985322
652	0.2677963644
653	0.2677940078
654	0.2677744935
655	0.2677731299
656	0.2677548242
657	0.2677533734
658	0.2677460904
659	0.2677435061
660	0.2677413795
661	0.267741084
662	0.2677382745
663	0.2677345155
664	0.2677312627
665	0.2677286081
666	0.2677263629
667	0.267721451
668	0.2677175492
669	0.2677134583
670	0.2677114335
671	0.2677090067
672	0.2677031599
673	0.2676999967
674	0.2676954433
675	0.2676935081
676	0.2676770891
677	0.2676750716
678	0.267671424
679	0.2676675996
680	0.2676635185
681	0.2676596045
682	0.2676562912
683	0.2676460944
684	0.2676430645
685	0.2676391238
686	0.2676351226
687	0.2676295665
688	0.2676264348
689	0.2676240152
690	0.2676221551
691	0.2676185729
692	0.2676164197
693	0.2676144361
694	0.2676085409
695	0.2676061891
696	0.2676040359
697	0.2676014467
698	0.2675992039
699	0.2675966027
700	0.2675936551
701	0.2675908576
702	0.2675890968
703	0.2675868685
704	0.2675839137
705	0.2675780039
706	0.267571307
707	0.267569304
708	0.2675665525
709	0.2675638665
710	0.2675598871
711	0.2675566246
712	0.2675540016
713	0.2675508965
714	0.2675486586
715	0.2675458854
716	0.2675429159
717	0.2675403365
718	0.2675384667
719	0.2675352478
720	0.2675327919
721	0.2675303819
722	0.267527025
723	0.267521854
724	0.267520035
725	0.2675160435
726	0.2675130354
727	0.2675108459
728	0.2675089518
729	0.2675030251
730	0.2675006515
731	0.2674986146
732	0.2674965341
733	0.2674935889
734	0.2674915156
735	0.2674899776
736	0.2674838136
737	0.267480229
738	0.2674774824
739	0.2674739438
740	0.2674671839
741	0.267465302
742	0.2674624876
743	0.2674600971
744	0.2674567014
745	0.2674542333
746	0.2674522884
747	0.2674497162
748	0.2674475049
749	0.2674448044
750	0.2674444725
751	0.2674423702
752	0.2674400669
753	0.2674356588
754	0.2674331956
755	0.2674296715
756	0.2674216158
757	0.2674189298
758	0.2674136861
759	0.2674103946
760	0.2674072653
761	0.2674049644
762	0.2674018569
763	0.2673988633
764	0.2673960392
765	0.2673930286
766	0.2673903523
767	0.2673872327
768	0.2673849027
769	0.2673821682
770	0.267380761
771	0.2673787798
772	0.2673774429
773	0.2673719013
774	0.2673660714
775	0.2673659285
776	0.2673639158
777	0.2673612322
778	0.2673595537
779	0.2673570348
780	0.2673548599
781	0.2673519558
782	0.267350786
783	0.267348611
784	0.2673460437
785	0.2673418923
786	0.2673396979
787	0.2673376586
788	0.2673354449
789	0.2673339771
790	0.2673184931
791	0.2673151337
792	0.2673131501
793	0.2673098852
794	0.2673073106
795	0.2673039924
796	0.267301815
797	0.2672990078
798	0.2672965204
799	0.267294016
800	0.2672911726
801	0.2672664267
802	0.2672647991
803	0.2672611733
804	0.2672587852
805	0.267256896
806	0.2672537837
807	0.2672513665
808	0.2672486127
809	0.2672436499
810	0.2672394453
811	0.2672371226
812	0.2672352818
813	0.2672320193
814	0.2672280351
815	0.2672158281
816	0.2672142223
817	0.2672123839
818	0.267210255
819	0.2672085378
820	0.2672036816
821	0.2672007873
822	0.2671982683
823	0.2671982635
824	0.267197486
825	0.2671952166
826	0.267192516
827	0.2671891591
828	0.2671882629
829	0.267186008
830	0.2671839759
831	0.2671824888
832	0.2671797931
833	0.2671777949
834	0.2671755327
835	0.2671736557
836	0.267168923
837	0.2671622939
92
836	0.2661819095
837	0.2661803836
