iter	Passed	Remaining
400	18980	20684
401	19028	20637
402	19071	20585
403	19110	20529
404	19153	20477
405	19188	20417
406	19234	20368
407	19274	20313
408	19313	20257
409	19349	20199
410	19384	20138
411	19421	20081
412	19456	20021
413	19490	19961
414	19527	19904
415	19565	19847
416	19600	19788
417	19640	19733
418	19677	19677
419	19710	19616
420	19748	19561
421	19784	19503
422	19820	19445
423	19859	19390
424	19899	19337
425	19934	19279
426	19978	19229
427	20012	19170
428	20047	19113
429	20088	19060
430	20125	19005
431	20164	18951
432	20197	18891
433	20233	18834
434	20267	18776
435	20306	18722
436	20344	18668
437	20382	18614
438	20419	18559
439	20456	18503
440	20495	18450
441	20528	18391
442	20566	18338
443	20604	18284
444	20645	18232
445	20687	18182
446	20726	18129
447	20766	18077
448	20803	18023
449	20840	17969
450	20878	17916
451	20918	17864
452	20954	17808
453	20986	17751
454	21023	17697
455	21063	17645
456	21103	17593
457	21143	17542
458	21179	17488
459	21215	17433
460	21249	17377
461	21289	17326
462	21328	17275
463	21369	17224
464	21413	17176
465	21455	17127
466	21496	17077
467	21534	17025
468	21573	16973
469	21612	16922
470	21650	16869
471	21687	16817
472	21722	16762
473	21761	16711
474	21799	16659
475	21835	16605
476	21875	16555
477	21911	16502
478	21953	16454
479	21996	16405
480	22041	16359
481	22091	16316
482	22130	16265
483	22187	16228
484	22234	16182
485	22272	16131
486	22305	16076
487	22339	16022
488	22377	15970
489	22413	15918
490	22445	15862
491	22480	15809
492	22518	15758
493	22553	15705
494	22591	15654
495	22625	15600
496	22669	15554
497	22705	15501
498	22746	15453
499	22781	15400
500	22817	15348
501	22855	15297
502	22891	15245
503	22929	15195
504	22964	15142
505	23006	15095
506	23041	15042
507	23075	14989
508	23112	14938
509	23152	14890
510	23185	14836
511	23223	14786
512	23257	14734
513	23296	14685
514	23330	14632
515	23368	14582
516	23409	14534
517	23447	14484
518	23487	14436
519	23530	14389
520	23573	14343
521	23615	14296
522	23663	14252
523	23706	14205
524	23748	14158
525	23785	14108
526	23824	14059
527	23861	14009
528	23897	13959
529	23947	13916
530	23988	13868
531	24041	13828
532	24079	13779
533	24130	13736
534	24178	13693
535	24219	13646
536	24258	13597
537	24291	13545
538	24333	13498
539	24373	13450
540	24415	13403
541	24452	13354
542	24490	13304
543	24528	13256
544	24567	13207
545	24612	13162
546	24643	13110
547	24687	13064
548	24729	13017
549	24768	12969
550	24805	12920
551	24842	12871
552	24883	12824
553	24928	12779
554	24970	12732
555	25013	12686
556	25050	12637
557	25086	12588
558	25125	12540
559	25160	12490
560	25200	12443
561	25231	12391
562	25270	12343
563	25308	12295
564	25352	12249
565	25390	12201
566	25432	12155
567	25463	12104
568	25506	12058
569	25544	12010
570	25585	11963
571	25620	11914
572	25658	11866
573	25699	11819
574	25740	11773
575	25775	11724
576	25816	11677
577	25849	11627
578	25888	11580
579	25926	11532
580	25965	11485
581	25999	11436
582	26041	11390
583	26078	11342
584	26121	11296
585	26156	11248
586	26193	11200
587	26226	11150
588	26267	11104
589	26300	11055
590	26337	11007
591	26378	10961
592	26423	10917
593	26460	10869
594	26498	10821
595	26534	10774
596	26570	10725
597	26610	10679
598	26651	10633
599	26689	10586
600	26726	10539
601	26767	10493
602	26809	10448
603	26842	10399
604	26884	10353
605	26918	10305
606	26959	10259
607	27000	10213
608	27032	10164
609	27070	10118
610	27101	10068
611	27144	10023
612	27179	9976
613	27219	9930
614	27272	9889
615	27320	9845
616	27361	9800
617	27401	9754
618	27441	9708
619	27480	9662
620	27534	9621
621	27584	9579
622	27634	9536
623	27673	9490
624	27706	9442
625	27745	9396
626	27778	9348
627	27811	9299
628	27850	9254
629	27888	9207
630	27920	9159
631	27959	9113
632	27995	9066
633	28026	9018
634	28060	8970
635	28097	8923
636	28136	8878
637	28167	8830
638	28208	8784
639	28243	8737
640	28281	8691
641	28318	8645
642	28355	8599
643	28394	8553
644	28434	8508
645	28469	8461
646	28510	8416
647	28542	8368
648	28579	8322
649	28617	8277
650	28654	8230
651	28692	8185
652	28736	8141
653	28770	8094
654	28812	8049
655	28849	8003
656	28883	7957
657	28922	7911
658	28955	7864
659	28989	7818
660	29030	7773
661	29067	7727
662	29104	7682
663	29140	7636
664	29173	7589
665	29206	7542
666	29249	7498
667	29292	7454
668	29332	7409
669	29366	7363
670	29409	7319
671	29452	7275
672	29492	7230
673	29526	7184
674	29571	7141
675	29619	7098
676	29666	7055
677	29711	7011
678	29754	6967
679	29794	6922
680	29842	6879
681	29881	6835
682	29918	6789
683	29957	6744
684	29993	6699
685	30033	6654
686	30068	6608
687	30107	6564
688	30146	6519
689	30192	6476
690	30226	6430
691	30267	6385
692	30305	6340
693	30346	6296
694	30384	6251
695	30426	6207
696	30468	6163
697	30504	6118
698	30544	6073
699	30580	6028
700	30617	5983
701	30657	5939
702	30700	5895
703	30737	5850
704	30774	5805
705	30814	5761
706	30852	5716
707	30894	5672
708	30944	5630
709	30988	5586
710	31028	5542
711	31077	5499
712	31125	5456
713	31168	5412
714	31208	5368
715	31245	5324
716	31285	5279
717	31320	5234
718	31359	5190
719	31398	5145
720	31437	5101
721	31473	5056
722	31514	5012
723	31554	4968
724	31593	4924
725	31634	4880
726	31676	4836
727	31716	4792
728	31759	4748
729	31806	4705
730	31848	4661
731	31897	4618
732	31953	4577
733	32012	4535
734	32059	4492
735	32094	4447
736	32128	4402
737	32186	4361
738	32233	4318
739	32287	4275
740	32327	4231
741	32367	4187
742	32405	4143
743	32444	4099
744	32481	4054
745	32519	4010
746	32554	3965
747	32591	3921
748	32629	3877
749	32667	3832
750	32710	3789
751	32745	3744
752	32781	3700
753	32818	3656
754	32863	3612
755	32904	3569
756	32945	3525
757	32984	3481
758	33026	3437
759	33069	3393
760	33103	3349
761	33141	3305
762	33177	3261
763	33214	3217
764	33253	3173
765	33290	3129
766	33329	3085
767	33365	3041
768	33404	2997
769	33437	2952
770	33477	2909
771	33520	2865
772	33559	2821
773	33598	2778
774	33641	2734
775	33680	2690
776	33724	2647
777	33764	2603
